budget,problem,algorithm,median_error,rank
250,sinc_well_2d,GA,0.076567190964699,1
250,sinc_well_2d,CDA (tuned),0.1620565791474231,2
250,sinc_well_2d,CDA,0.23421410761437933,3
250,sinc_well_2d,PSO,0.2989200358503652,4
250,sinc_well_2d,Random,0.439898466618855,5
250,sinc_well_2d,DE,0.5134813770836235,6
250,ripple_cone_2d,GA,0.109463398282933,1
250,ripple_cone_2d,PSO,0.11221043751662668,2
250,ripple_cone_2d,CDA (tuned),0.16904482445636423,3
250,ripple_cone_2d,CDA,0.18458139771664295,4
250,ripple_cone_2d,DE,0.265761578732187,5
250,ripple_cone_2d,Random,0.282823647153423,6
250,sphere_10d,PSO,8.704324482245,1
250,sphere_10d,GA,9.758965210567153,2
250,sphere_10d,CDA,16.57118565147227,3
250,sphere_10d,CDA (tuned),21.125491676352766,4
250,sphere_10d,DE,23.240363050424033,5
250,sphere_10d,Random,27.045788053091393,6
250,rastrigin_10d,GA,76.19029234195989,1
250,rastrigin_10d,CDA,82.39816112572092,2
250,rastrigin_10d,CDA (tuned),82.6623048197051,3
250,rastrigin_10d,PSO,84.92703582375643,4
250,rastrigin_10d,Random,98.33982683515563,5
250,rastrigin_10d,DE,102.68224404723816,6
250,ackley_10d,PSO,15.73709618051625,1
250,ackley_10d,GA,16.226584283646602,2
250,ackley_10d,CDA,17.428841702881467,3
250,ackley_10d,CDA (tuned),18.048973930484074,4
250,ackley_10d,DE,18.739727923778553,5
250,ackley_10d,Random,19.168663591541822,6
250,rosenbrock_10d,GA,171.17290442010022,1
250,rosenbrock_10d,PSO,175.04759376470327,2
250,rosenbrock_10d,CDA,411.82547468474536,3
250,rosenbrock_10d,CDA (tuned),479.1800424511087,4
250,rosenbrock_10d,DE,494.6137436624402,5
250,rosenbrock_10d,Random,545.9303929611563,6
250,griewank_10d,PSO,30.88404800366923,1
250,griewank_10d,GA,34.504503824519304,2
250,griewank_10d,CDA,57.89244589696115,3
250,griewank_10d,CDA (tuned),73.51132186506598,4
250,griewank_10d,DE,80.79113508724885,5
250,griewank_10d,Random,93.84943022091369,6
250,levy_10d,GA,11.941244153279815,1
250,levy_10d,PSO,12.065333814847293,2
250,levy_10d,CDA,18.10280357998038,3
250,levy_10d,CDA (tuned),19.914482823063782,4
250,levy_10d,Random,23.29464654911736,5
250,levy_10d,DE,23.389779006793695,6
500,sinc_well_2d,GA,0.0046767009804593584,1
500,sinc_well_2d,CDA,0.024368435948714406,2
500,sinc_well_2d,PSO,0.044267553366960755,3
500,sinc_well_2d,CDA (tuned),0.05296655288123908,4
500,sinc_well_2d,DE,0.06083408326253803,5
500,sinc_well_2d,Random,0.28989809106525577,6
500,ripple_cone_2d,GA,0.03700470364883396,1
500,ripple_cone_2d,PSO,0.061245185498354116,2
500,ripple_cone_2d,DE,0.09356975468775047,3
500,ripple_cone_2d,CDA (tuned),0.10043613845898924,4
500,ripple_cone_2d,CDA,0.1223310252290552,5
500,ripple_cone_2d,Random,0.23496271936796576,6
500,sphere_10d,GA,2.426661954077238,1
500,sphere_10d,PSO,4.270666665469911,2
500,sphere_10d,DE,13.653670712032412,3
500,sphere_10d,CDA,15.572897821236097,4
500,sphere_10d,CDA (tuned),18.670273817952307,5
500,sphere_10d,Random,24.81635395386251,6
500,rastrigin_10d,GA,56.576329725518704,1
500,rastrigin_10d,CDA,67.51740005419047,2
500,rastrigin_10d,CDA (tuned),73.03619397010608,3
500,rastrigin_10d,PSO,77.89442149153454,4
500,rastrigin_10d,DE,83.18283947574483,5
500,rastrigin_10d,Random,92.0776361301137,6
500,ackley_10d,GA,11.008176021853233,1
500,ackley_10d,PSO,13.276220592971615,2
500,ackley_10d,CDA,16.378850669441903,3
500,ackley_10d,CDA (tuned),16.899069542533688,4
500,ackley_10d,DE,17.41372218254262,5
500,ackley_10d,Random,18.850820154497185,6
500,rosenbrock_10d,GA,56.604578304450555,1
500,rosenbrock_10d,PSO,68.72239847377529,2
500,rosenbrock_10d,DE,247.5169461789751,3
500,rosenbrock_10d,CDA,357.3478469525075,4
500,rosenbrock_10d,CDA (tuned),384.61998780859165,5
500,rosenbrock_10d,Random,496.7757883975718,6
500,griewank_10d,GA,9.241657643352443,1
500,griewank_10d,PSO,15.701250888973686,2
500,griewank_10d,DE,47.8754046160124,3
500,griewank_10d,CDA,52.9973693214775,4
500,griewank_10d,CDA (tuned),67.08939397144826,5
500,griewank_10d,Random,86.19524944945792,6
500,levy_10d,GA,3.145836376504782,1
500,levy_10d,PSO,5.765457515950235,2
500,levy_10d,DE,13.342302177260205,3
500,levy_10d,CDA,14.58791221606178,4
500,levy_10d,CDA (tuned),15.799497744569745,5
500,levy_10d,Random,21.372228737615835,6
1000,sinc_well_2d,GA,3.0975795148435736e-05,1
1000,sinc_well_2d,DE,0.00457204131083877,2
1000,sinc_well_2d,PSO,0.006237155572941688,3
1000,sinc_well_2d,CDA,0.007827211612079665,4
1000,sinc_well_2d,CDA (tuned),0.024897195307435283,5
1000,sinc_well_2d,Random,0.1627105011478971,6
1000,ripple_cone_2d,GA,0.006182131130069629,1
1000,ripple_cone_2d,PSO,0.022297342302053436,2
1000,ripple_cone_2d,DE,0.027492497403587723,3
1000,ripple_cone_2d,CDA,0.036124088201828275,4
1000,ripple_cone_2d,CDA (tuned),0.0657264956113505,5
1000,ripple_cone_2d,Random,0.12715441756719786,6
1000,sphere_10d,GA,0.22550899971870056,1
1000,sphere_10d,PSO,0.9423049812097005,2
1000,sphere_10d,DE,4.408425961268836,3
1000,sphere_10d,CDA,14.85326442453199,4
1000,sphere_10d,CDA (tuned),15.981790460480688,5
1000,sphere_10d,Random,21.747438745397474,6
1000,rastrigin_10d,GA,23.16477232668837,1
1000,rastrigin_10d,CDA,45.787311946611844,2
1000,rastrigin_10d,PSO,52.211082786598325,3
1000,rastrigin_10d,CDA (tuned),60.86652829137541,4
1000,rastrigin_10d,DE,70.99554341989673,5
1000,rastrigin_10d,Random,89.2081015416587,6
