function,algorithm,best_value,median_value,x1,x2,evals_to_global_best_run,median_evals_to_global,hit_rate,evals_to_convergence_best_run,median_evaluations_used,true_optimum
sinc_well,CDA,-19.96668276893578,-19.966533861875057,3.9999998359511615,4.000000825336695,3898,3241.0,0.9,4149,3625.5,-19.96668332936563
sinc_well,CDA (tuned),-19.966397141138287,-19.963913634129376,3.9998839886120923,3.999587197365214,4188,6275.0,0.1,5879,10000.0,-19.96668332936563
sinc_well,PSO,-19.966683329365566,-19.96668332936063,4.00000000000005,4.000000000000089,1950,1625.0,1.0,8150,10000.0,-19.96668332936563
sinc_well,GA,-19.96668332936563,-19.96668332936563,4.0,3.9999999999999964,700,650.0,1.0,2200,10000.0,-19.96668332936563
sinc_well,DE,-19.96668332936563,-19.96668332936563,4.0000000000000036,4.0,1500,1300.0,1.0,4650,10000.0,-19.96668332936563
sinc_well,Random,-19.96216776134968,-19.938939976585495,4.005765177504417,3.9968594418922123,,nan,0.0,3400,10000.0,-19.96668332936563
ripple_cone,CDA,-0.2474050431913869,-0.24451229774969543,-0.2021743225724535,1.1636895003164227e-07,1210,1610.5,0.26666666666666666,1313,1610.5,-0.24740519403861622
ripple_cone,CDA (tuned),-0.24691610466351271,-0.24095027955014459,-0.20484961996305184,6.091836377386528e-05,9432,9432.0,0.03333333333333333,9432,10000.0,-0.24740519403861622
ripple_cone,PSO,-0.24740519403861327,-0.24740519403714545,-0.20214994524569274,-1.7763568394002505e-15,2400,2050.0,1.0,7250,10000.0,-0.24740519403861622
ripple_cone,GA,-0.24740519403861622,-0.24740519403861622,-0.20214994111555118,0.0,8250,1050.0,0.9,8450,10000.0,-0.24740519403861622
ripple_cone,DE,-0.24740519403861622,-0.24740519403861622,-0.20214994092329963,0.0,1700,2000.0,1.0,3900,10000.0,-0.24740519403861622
ripple_cone,Random,-0.24025687376887328,-0.20035953961886055,-0.20951150930584284,0.003961877996278673,,nan,0.0,2100,10000.0,-0.24740519403861622
