algorithm,problem,dim,seed,best_value,error,evaluations,iterations,evals_to_target,success,stop_reason,seconds
CDA (paper),paper_f1,2,0,-19.966540768330105,0.0001425610355241247,3640,30,,False,mean_gap,0.011065601999689534
CDA (paper),paper_f1,2,1,-19.96654822414721,0.00013510521841908485,4018,23,,False,extinction,0.0018467840000084834
CDA (paper),paper_f1,2,2,-19.966679352781693,3.976583936804445e-06,749,18,717,True,extinction,0.0012656999997489038
CDA (paper),paper_f1,2,3,-19.96668276893578,5.604298500827554e-07,4158,27,4070,True,extinction,0.0021182860000408255
CDA (paper),paper_f1,2,4,-19.96647943358816,0.00020389577747081944,4655,16,,False,extinction,0.0015346660002251156
CDA (paper),paper_f1,2,5,-19.96658328220519,0.00010004716044065276,4492,32,,False,mean_gap,0.002325245000065479
CDA (paper),paper_f1,2,6,-19.966380144269746,0.00030318509588411757,2726,13,,False,extinction,0.001082468999811681
CDA (paper),paper_f1,2,7,-19.966522527449953,0.00016080191567624524,3392,32,,False,mean_gap,0.0022436669996750425
CDA (paper),paper_f1,2,8,-19.96663307104665,5.02583189785355e-05,4404,21,4367,True,extinction,0.0017551239998283563
CDA (paper),paper_f1,2,9,-19.96606450132355,0.0006188280420786896,776,15,,False,extinction,0.0009949400000550668
CDA (paper),paper_f1,2,10,-19.96658821506014,9.511430549125066e-05,4948,20,4930,True,extinction,0.0016944769995461684
CDA (paper),paper_f1,2,11,-19.96602285940491,0.0006604699607208886,1217,11,,False,extinction,0.0007996459999048966
CDA (paper),paper_f1,2,12,-19.96667461955886,8.709806770923478e-06,1373,23,1302,True,extinction,0.001540466999358614
CDA (paper),paper_f1,2,13,-19.96630384593465,0.0003794834309793771,2653,12,,False,extinction,0.0010392789999968954
CDA (paper),paper_f1,2,14,-19.96441476399125,0.00226856537437925,819,30,,False,extinction,0.0018343459996685851
CDA (paper),paper_f1,2,15,-19.96653308534123,0.00015024402440033668,4394,35,,False,mean_gap,0.0025960319999285275
CDA (paper),paper_f1,2,16,-19.966534638408884,0.000148690956745412,4103,30,,False,mean_gap,0.0021810930002175155
CDA (paper),paper_f1,2,17,-19.966051059490102,0.000632269875527669,698,13,,False,extinction,0.000885176000338106
CDA (paper),paper_f1,2,18,-19.966676381757782,6.947607847251902e-06,4467,14,4462,True,extinction,0.0013733269997828756
CDA (paper),paper_f1,2,19,-19.96637306360545,0.00031026576018078345,1955,17,,False,extinction,0.001239507999343914
CDA (paper),paper_f1,2,20,-19.966643120534716,4.0208830913712745e-05,3611,15,3606,True,extinction,0.0013038550005148863
CDA (paper),paper_f1,2,21,-19.964716515775134,0.001966813590495775,3350,32,,False,mean_gap,0.002174484000533994
CDA (paper),paper_f1,2,22,-19.96632973106358,0.0003535983020483968,4110,30,,False,mean_gap,0.0021922670002822997
CDA (paper),paper_f1,2,23,-19.966680137162562,3.192203067214905e-06,4185,19,3982,True,extinction,0.0015621149996150052
CDA (paper),paper_f1,2,24,-19.966053340510268,0.0006299888553620292,2571,20,,False,extinction,0.0015018370004327153
CDA (paper),paper_f1,2,25,-19.96664520714016,3.812222546883959e-05,3405,18,3382,True,extinction,0.0015890069998931722
CDA (paper),paper_f1,2,26,-19.966447669765817,0.00023565959981297624,4716,13,,False,extinction,0.0013461329999699956
CDA (paper),paper_f1,2,27,-19.966669858938552,1.3470427077777458e-05,3759,35,3603,True,mean_gap,0.0024083850003080443
CDA (paper),paper_f1,2,28,-19.957950440848393,0.008732888517236859,642,33,,False,mean_gap,0.0019008879999091732
CDA (paper),paper_f1,2,29,-19.966669862198234,1.3467167395475599e-05,3685,17,3668,True,extinction,0.0014037569999345578
CDA (budgeted),paper_f1,2,0,-19.964023345554075,0.0026599838115544117,10000,22,,False,budget_exhausted,0.0025790640002014698
CDA (budgeted),paper_f1,2,1,-19.964463741621557,0.002219587744072271,10000,24,,False,budget_exhausted,0.002437235000797955
CDA (budgeted),paper_f1,2,2,-19.959433190371985,0.0072501389936441285,10000,18,,False,budget_exhausted,0.0020240210005795234
CDA (budgeted),paper_f1,2,3,-19.966397141138287,0.00028618822734216565,10000,13,,False,budget_exhausted,0.0017560770002091886
CDA (budgeted),paper_f1,2,4,-19.96467909316199,0.002004236203639209,10000,19,,False,budget_exhausted,0.002169739000237314
CDA (budgeted),paper_f1,2,5,-19.964317303338696,0.0023660260269338096,10000,21,,False,budget_exhausted,0.002188475000366452
CDA (budgeted),paper_f1,2,6,-19.9652377913653,0.001445538000329094,10000,19,,False,budget_exhausted,0.0022368480003933655
CDA (budgeted),paper_f1,2,7,-19.95232557034354,0.014357759022090022,10000,22,,False,budget_exhausted,0.002630521999890334
CDA (budgeted),paper_f1,2,8,-19.96363944218839,0.003043887177238247,10000,12,,False,budget_exhausted,0.0016788650000307825
CDA (budgeted),paper_f1,2,9,-19.963624302830507,0.0030590265351229107,10000,21,,False,budget_exhausted,0.0024304930002472247
CDA (budgeted),paper_f1,2,10,-19.96293194434857,0.0037513850170611818,10000,22,,False,budget_exhausted,0.0023216419995151227
CDA (budgeted),paper_f1,2,11,-19.962578830048212,0.00410449931741752,10000,19,,False,budget_exhausted,0.0020993250000174157
CDA (budgeted),paper_f1,2,12,-19.965315681276294,0.001367648089335205,10000,21,,False,budget_exhausted,0.002333204000024125
CDA (budgeted),paper_f1,2,13,-19.96277493720875,0.003908392156880325,10000,21,,False,budget_exhausted,0.0022415280000132043
CDA (budgeted),paper_f1,2,14,-19.964752570132685,0.0019307592329447232,10000,21,,False,budget_exhausted,0.0022935199995117728
CDA (budgeted),paper_f1,2,15,-19.962535522135166,0.004147807230463485,10000,21,,False,budget_exhausted,0.002374205999331025
CDA (budgeted),paper_f1,2,16,-19.963073436174692,0.0036098931909371856,10000,20,,False,budget_exhausted,0.002179894999244425
CDA (budgeted),paper_f1,2,17,-19.963929510595474,0.0027538187701559025,10000,20,,False,budget_exhausted,0.002189296999858925
CDA (budgeted),paper_f1,2,18,-19.961818631850583,0.004864697515046146,10000,19,,False,budget_exhausted,0.0022172899998622597
CDA (budgeted),paper_f1,2,19,-19.96290327137035,0.003780057995278696,10000,13,,False,budget_exhausted,0.001671252999585704
CDA (budgeted),paper_f1,2,20,-19.96011265813491,0.006570671230718972,10000,21,,False,budget_exhausted,0.002302868999322527
CDA (budgeted),paper_f1,2,21,-19.963897757663275,0.0027855717023541615,10000,23,,False,budget_exhausted,0.0023684920006417087
CDA (budgeted),paper_f1,2,22,-19.965789054602848,0.0008942747627820324,10000,20,,False,budget_exhausted,0.002248826999675657
CDA (budgeted),paper_f1,2,23,-19.96567195424327,0.0010113751223599365,10000,20,,False,budget_exhausted,0.0022638219998043496
CDA (budgeted),paper_f1,2,24,-19.966165520987765,0.0005178083778645259,10000,22,,False,budget_exhausted,0.002417122999759158
CDA (budgeted),paper_f1,2,25,-19.96411437837495,0.0025689509906783314,10000,11,,False,budget_exhausted,0.0016540970000278321
CDA (budgeted),paper_f1,2,26,-19.96093030144156,0.005753027924068732,10000,21,,False,budget_exhausted,0.002298768999935419
CDA (budgeted),paper_f1,2,27,-19.964494648610962,0.0021886807546671605,10000,22,,False,budget_exhausted,0.0023695840000073076
CDA (budgeted),paper_f1,2,28,-19.96347361346048,0.00320971590515029,10000,22,,False,budget_exhausted,0.0023101870001482894
CDA (budgeted),paper_f1,2,29,-19.964023952039444,0.002659377326185819,10000,21,,False,budget_exhausted,0.002260825000121258
PSO,paper_f1,2,0,-19.966683329362002,3.6273206660553114e-12,10000,199,2600,True,budget_exhausted,0.0064190919993052376
PSO,paper_f1,2,1,-19.96668332936108,4.551026222543442e-12,10000,199,3000,True,budget_exhausted,0.006399252999472083
PSO,paper_f1,2,2,-19.966683329347063,1.8566481685411418e-11,10000,199,3100,True,budget_exhausted,0.006441595999604033
PSO,paper_f1,2,3,-19.96668332935327,1.2359890888546943e-11,10000,199,2750,True,budget_exhausted,0.0066159570005766
PSO,paper_f1,2,4,-19.96668332935715,8.480327551296796e-12,10000,199,2550,True,budget_exhausted,0.006618102999709663
PSO,paper_f1,2,5,-19.96668332935137,1.426059270670521e-11,10000,199,2850,True,budget_exhausted,0.0065692190000845585
