sweep,alpha,contact_num_max,n_transmitters,sigma_formula,score,paper_f1_2d,paper_f2_2d,sphere_10d,rastrigin_10d,ackley_10d,rosenbrock_10d,griewank_10d
alpha_x_contacts,1.05,2,20,corrected,-0.3476503427781424,0.018172521234687267,0.019099874798025468,0.012365658730422903,29.33887641041266,2.9792290452915524,9.239830134341329,1.0630979488713916
alpha_x_contacts,1.05,3,20,corrected,-0.42881654543541314,0.0059575274760188535,0.012270664959093847,0.022327383629510825,23.2070775313,2.763540123794407,8.944685257972527,1.0638022489344534
alpha_x_contacts,1.05,5,20,corrected,-0.3265369178276768,0.004034883013972035,0.015125268266685171,0.09369796768540034,23.8884820765552,2.8943824116220367,9.895032317902647,1.3237796124813506
alpha_x_contacts,1.05,10,20,corrected,-0.5070791949325059,0.0023235730511483865,0.005770593691972192,0.03918256761906841,20.311277906906838,3.0839646859455283,7.668965525297095,1.1178730487147992
alpha_x_contacts,1.05,20,20,corrected,-0.4772886585053335,0.004144243084523325,0.010025525770975513,0.028844582766720327,16.034776526014944,2.631667786825283,8.387487374947746,1.0750703745390637
alpha_x_contacts,1.15,2,20,corrected,-0.44157661606659776,0.011930866467231738,0.00752002921384709,0.01543793993625837,17.53960488388894,3.612737031097494,8.875767778772445,1.0409281185112174
alpha_x_contacts,1.15,3,20,corrected,-0.4195085912924155,0.0066258758889379266,0.012175818517941972,0.024979760646886368,22.235732677120204,2.5223974583366826,9.498977731666256,1.0778747322551072
alpha_x_contacts,1.15,5,20,corrected,-0.5335216296605262,0.003180787110322214,0.006375654514760659,0.024062815889557866,18.982628479333748,2.6178350855231813,7.114889753421957,1.0677656826096187
alpha_x_contacts,1.15,10,20,corrected,-1.053694268647114,0.0025130049192441106,0.0056932879022757454,3.8499538214429084e-05,16.913116106210452,1.0127016084303873,6.909756195564226,0.6455951346735141
alpha_x_contacts,1.15,20,20,corrected,-0.6745772108394105,0.00497617644178483,0.005118961903759989,0.010766753292857287,14.5042522486917,0.6878259397231905,7.465850851242459,0.9284187225153362
alpha_x_contacts,1.3,2,20,corrected,-0.4334481965330066,0.007317706612809616,0.016439343604047307,0.013937424828554267,28.350180006292398,2.338258527629073,8.54910345162181,0.9728630294116587
alpha_x_contacts,1.3,3,20,corrected,-0.4507220834117409,0.0027021927282575575,0.011202445477013045,0.04080215857795841,21.80210457386341,2.4475248175563906,9.675478013140523,1.0973247221928624
alpha_x_contacts,1.3,5,20,corrected,-0.49076384549858376,0.0015847710221859046,0.007431763268152536,0.053852756425231754,20.138721407901052,3.2053693920552413,8.003706465984061,1.1199164477229022
alpha_x_contacts,1.3,10,20,corrected,-0.8975206324207878,0.0009967668814852004,0.006429638703647211,0.001206470749910039,14.524664882856051,1.0521038169446837,7.35739311352314,0.6000258032599619
alpha_x_contacts,1.3,20,20,corrected,-0.6463750352894666,0.0026286734160283487,0.008133917907484467,0.012670531613472449,18.905147561850548,1.510386158204494,7.673760207149074,0.5033466764363262
alpha_x_contacts,1.5,2,20,corrected,-0.3979408787939578,0.015008298963186562,0.015275143473039848,0.01257763780894396,24.879875614511427,2.7053621277057514,8.438390112103423,1.0003795001458093
alpha_x_contacts,1.5,3,20,corrected,-0.5360199101401265,0.00123176262467517,0.008126243572607772,0.028721341419554347,23.28234943700616,2.431879707860342,9.92661321541159,1.0951385303898955
alpha_x_contacts,1.5,5,20,corrected,-0.7416891082399427,0.00020517235328654237,0.0008530522577814281,0.058243091836261376,17.644036941735813,3.326441934096238,8.919926107258132,1.2047534531018562
alpha_x_contacts,1.5,10,20,corrected,-0.9229079173185883,0.0007408290295529696,0.0009959718506537818,0.0032302928538155517,18.202787871304032,1.7652782830048062,7.113849908165436,0.6358897734391579
alpha_x_contacts,1.5,20,20,corrected,-0.696525999783372,0.0017450595955761372,0.002100822944959363,0.015618897325262952,21.935247089571384,2.008084589117605,7.081375743983687,0.7454623991694012
alpha_x_contacts,2.0,2,20,corrected,-0.37389319410864175,0.011714408975228352,0.019853204308260902,0.014079280590691457,25.193036915902866,3.000930082113904,8.842684075960179,1.1027972479623407
alpha_x_contacts,2.0,3,20,corrected,-0.5002578897926734,0.0026105578691044684,0.006331803373397643,0.03193566724001547,22.44662070833936,2.736644037538229,8.85741346798548,1.0964323339717583
alpha_x_contacts,2.0,5,20,corrected,-0.8918951427481626,5.911579691897373e-05,0.00010593257364657771,0.1058461382159062,21.36506650456559,3.231994539771771,9.649805998750299,1.2931010071128453
alpha_x_contacts,2.0,10,20,corrected,-1.1467543656411117,0.00012173399896120429,6.815606550669706e-05,0.004888912633537595,22.528152530511157,1.9857487088292687,7.419524645697522,0.697533074490872
alpha_x_contacts,2.0,20,20,corrected,-0.805139368790209,0.0007306727458029627,0.0006122446388203695,0.013755747290873937,24.944006562536202,2.2192016007978563,8.54708454466807,0.7941661282625703
alpha_x_contacts,3.0,2,20,corrected,-0.34138149534171996,0.015297440997564138,0.02953174964790342,0.012812152128947978,25.982548902570947,2.937570604085224,9.496793230469788,0.9717452614254691
alpha_x_contacts,3.0,3,20,corrected,-0.40450297137286556,0.007925912808369517,0.011225018974274165,0.03222477147311095,18.912794158539334,2.674047023604413,8.842726092095134,1.1495876014183932
alpha_x_contacts,3.0,5,20,corrected,-0.670166859192182,0.0006338933267997504,0.00045341044922950213,0.0869661372584137,23.44067962643716,3.092536856469485,9.538921462021822,1.17812057982545
alpha_x_contacts,3.0,10,20,corrected,-1.1858059201624533,3.954436656350424e-05,6.613392754842295e-05,0.005764564184491868,21.517342704489515,2.4487208384649013,7.1092596724623816,0.886198135814497
alpha_x_contacts,3.0,20,20,corrected,-0.9132667852547529,0.00027174905558879914,0.0001706085481637254,0.020825826965472242,23.609343315590223,2.159624546882942,8.43313214346636,0.9747883820586938
population,1.15,10,10,corrected,-1.0051162032405314,0.00299033412012939,0.006310394247414558,5.422587358995646e-05,15.567962039908899,1.1688617142708364,6.836896024702206,0.7233524048917075
population,1.15,10,20,corrected,-1.053694268647114,0.0025130049192441106,0.0056932879022757454,3.8499538214429084e-05,16.913116106210452,1.0127016084303873,6.909756195564226,0.6455951346735141
population,1.15,10,50,corrected,-0.8883136326703654,0.0024602000150473202,0.007971950127683841,0.00022159998137286465,14.944904459273125,1.4301274485739506,7.302275822795831,0.8920182530813496
population,1.15,10,100,corrected,-1.1497021608182583,0.0022100638057018784,0.006641500594077643,1.2429215924271582e-05,15.680631210378039,0.5826806680751226,6.719705575242044,0.7995132824070892
