problem,dim,algorithm,runs,best,median,mean,std,worst,mean_error,success_rate,median_evals_to_target,mean_evaluations,mean_seconds
ackley_10d,10,CDA,30,7.361103166977292,14.443423636830804,13.796612764660125,3.6446752354605714,18.62309773739041,13.796612764660125,0.0,nan,578.6,0.0020087671332779185
ackley_10d,10,CDA (tuned),30,0.026597636874680308,1.173796895549581,1.145686187190094,0.7424982118235364,2.526855538306592,1.145686187190094,0.0,nan,30000.0,0.025465238333435992
ackley_10d,10,DE,30,1.496136547984861e-12,4.213962512267244e-12,5.256447129416605e-12,2.629529667773654e-12,1.2925216452686072e-11,5.256447129416605e-12,1.0,13400.0,30000.0,0.04481120339996778
ackley_10d,10,GA,30,0.003998475103504706,0.019758094803452142,0.021169470914329094,0.010911494095943382,0.04351594459670283,0.021169470914329094,0.0,nan,30000.0,0.04518163950003024
ackley_10d,10,PSO,30,4.440892098500626e-16,7.549516567451064e-15,8.970602038971265e-15,9.026390777007191e-15,2.886579864025407e-14,8.970602038971265e-15,1.0,10125.0,30000.0,0.027668603900019663
ackley_10d,10,Random,30,13.420484342512891,16.36780254568289,16.134261630622543,0.9062370302548338,17.52903790959601,16.134261630622543,0.0,nan,30000.0,0.020223027266547434
ackley_2d,2,CDA,30,0.0007936420510614717,0.42603190286036297,1.241552487891759,1.3221681950031712,3.635608477316414,1.241552487891759,0.0,nan,359.7,0.0010505174332744597
ackley_2d,2,CDA (tuned),30,0.026316408788862322,0.10988390574381635,0.1251522160714247,0.07337772915711128,0.2565859610571519,0.1251522160714247,0.0,nan,10000.0,0.014729789133313412
ackley_2d,2,DE,30,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,1.0,2400.0,10000.0,0.013861020166617284
ackley_2d,2,GA,30,4.440892098500626e-16,4.440892098500626e-16,0.0025428256511432026,0.010602663648875013,0.05543773930806184,0.0025428256511432026,0.9,1150.0,10000.0,0.01270466213330413
ackley_2d,2,PSO,30,7.992584372118472e-11,4.3530024029792003e-10,7.016009995197692e-10,7.375632729314009e-10,3.1084259610736353e-09,7.016009995197692e-10,1.0,4100.0,10000.0,0.007910159299869216
ackley_2d,2,Random,30,0.5231530760614693,2.68819336816444,2.299348419563205,0.8345683910174775,3.287267984385189,2.299348419563205,0.0,nan,10000.0,0.0052627151334490915
ackley_30d,30,CDA,30,18.939177447170476,19.725294000838495,19.707434758573775,0.3205518761576909,20.289551633265543,19.707434758573775,0.0,nan,557.0,0.0022022630667682583
ackley_30d,30,CDA (tuned),30,2.6957648897376107,3.8059281035604493,4.216146559672385,1.310096166856581,8.632194074890783,4.216146559672385,0.0,nan,60000.0,0.09283318456664347
ackley_30d,30,DE,30,7.24831084042421e-09,1.740128618976655e-08,2.650907271473102e-08,3.864614224210897e-08,2.2386582942957034e-07,2.650907271473102e-08,1.0,36425.0,60000.0,0.10572746340000473
ackley_30d,30,GA,30,0.005216135194516358,0.014439093454730045,0.019164658149759095,0.013031101999977965,0.07281133337305379,0.019164658149759095,0.0,nan,60000.0,0.11931790516658415
ackley_30d,30,PSO,30,3.1872282590938994e-12,1.2477848952910748,1.7740396240078695,3.5229085609406328,14.36036213171025,1.7740396240078695,0.43333333333333335,28700.0,60000.0,0.07358406890004214
ackley_30d,30,Random,30,18.82040548682728,19.74032593821804,19.691236986271385,0.25251882338573883,20.037126855337668,19.691236986271385,0.0,nan,60000.0,0.0619565710000946
booth,2,CDA,30,1.0041233550809282e-10,3.132012476136268e-08,5.774074073770704e-07,1.3558568514060285e-06,5.256670807046986e-06,5.774074073770704e-07,1.0,5765.0,7976.766666666666,0.0020609419332989396
